Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Batuhan,2024-11-28 11:57:44,00:25:51,Autoplayed: user action: User_Interaction; ,Riverdale: Season 1: Chapter Twelve: Anatomy of a Murder (Episode 12),,Sony PS5,00:26:29,00:26:29,TR (Turkey)
Batuhan,2024-11-28 11:47:07,00:09:59,,Riverdale: Season 1: Chapter Eleven: To Riverdale and Back Again (Episode 11),,Sony PS5,00:42:03,00:42:03,TR (Turkey)
Batuhan,2024-11-28 11:46:57,00:00:04,Autoplayed: user action: User_Interaction; ,Riverdale: Season 6 (Trailer),TRAILER,Sony PS5,00:00:04,00:00:04,TR (Turkey)
Batuhan,2024-11-28 03:18:28,00:00:04,Autoplayed: user action: None; ,Riverdale: Season 2: Chapter Fourteen: A Kiss Before Dying (Episode 1),,Sony PS5,00:00:50,00:00:50,TR (Turkey)
Batuhan,2024-11-28 02:36:27,00:42:01,,Riverdale: Season 1: Chapter Thirteen: The Sweet Hereafter (Episode 13),,Sony PS5,00:42:01,00:42:01,TR (Turkey)
Batuhan,2024-11-28 01:54:57,00:41:29,,Riverdale: Season 1: Chapter Twelve: Anatomy of a Murder (Episode 12),,Sony PS5,00:42:06,Not latest view,TR (Turkey)
Batuhan,2024-11-28 01:13:22,00:41:34,Autoplayed: user action: User_Interaction; ,Riverdale: Season 1: Chapter Eleven: To Riverdale and Back Again (Episode 11),,Sony PS5,00:42:02,Not latest view,TR (Turkey)
Batuhan,2024-11-28 00:24:46,00:42:27,,Arcane: Season 2: The Dirt Under Your Nails (Episode 9),,Sony PS5,00:47:17,00:47:17,TR (Turkey)
Batuhan,2024-11-28 00:24:34,00:00:05,Autoplayed: user action: None; ,How to Train Your Dragon: The Hidden World_hook_03_16x9,HOOK,Sony PS5,00:00:05,00:00:05,TR (Turkey)
Batuhan,2024-11-27 19:01:28,00:00:06,Autoplayed: user action: None; ,Divergent_hook_01_16x9_backfill,HOOK,Sony PS5,00:00:06,00:00:06,TR (Turkey)
Batuhan,2024-11-27 17:22:38,00:05:50,Autoplayed: user action: User_Interaction; ,Arcane: Season 2: The Dirt Under Your Nails (Episode 9),,Sony PS5,00:05:52,Not latest view,TR (Turkey)
Batuhan,2024-11-27 16:45:33,00:37:02,,Arcane: Season 2: Killing Is a Cycle (Episode 8),,Sony PS5,00:37:11,00:37:11,TR (Turkey)
Batuhan,2024-11-27 15:58:23,00:38:36,,Arcane: Season 2: Pretend Like It's the First Time (Episode 7),,Sony PS5,00:38:36,00:38:36,TR (Turkey)
Batuhan,2024-11-27 15:57:59,00:00:01,,Arcane: Season 2: Killing Is a Cycle (Episode 8),,Sony PS5,00:00:01,Not latest view,TR (Turkey)
Batuhan,2024-11-27 02:01:29,00:00:08,Autoplayed: user action: None; ,Riverdale: Season 1: Chapter Eleven: To Riverdale and Back Again (Episode 11),,Sony PS5,00:00:40,Not latest view,TR (Turkey)
